	영화명	감독	주연배우	평점	평가자수	상영시간
1769	일대종사	왕가위	"['양조위', ' 장쯔이', ' 송혜교', ' 장첸']"	8	1468	122
1770	잃어버린 도시 Z	제임스 그레이	"['로버트 패틴슨', ' 시에나 밀러', ' 찰리 허냄', ' 톰 홀랜드']"	7.15	384	141
1771	잃어버린 세계를 찾아서	크리스 버틀러	"['휴 잭맨', ' 조 샐다나', ' 자흐 갈리피아나키스', ' 엠마 톰슨']"	8.33	88	95
1772	잃어버린 세계를 찾아서 2: 신비의 섬	브래드 페이튼	"['드웨인 존슨', ' 조쉬 허처슨', ' 마이클 케인', ' 바네사 허진스']"	7.11	1706	94
1773	임금님의 사건수첩	문현성	"['이선균', ' 안재홍']"	7.72	8006	114
1774	임을 위한 행진곡	박기복	"['김꽃비', ' 김부선', ' 전수현', ' 김채희']"	3.61	330	105
1775	잇 컴스 앳 나잇	트레이 에드워드 슐츠	"['조엘 에저튼', ' 라일리 코프', ' 크리스토퍼 애봇']"	6.67	265	92
1776	잉투기	엄태화	"['엄태구', ' 류혜영', ' 권율']"	7.56	693	98
1777	자객 섭은낭	허우 샤오시엔	"['서기', ' 장첸', ' 사흔영', ' 츠마부키 사토시']"	6.71	298	106
1778	자백	최승호	"['소지섭', ' 김윤진', ' 나나', ' 최광일']"	9.29	3140	105
1779	자전차왕 엄복동	김유성	"['비', ' 강소라', ' 이범수']"	3.9	8274	116
1780	자칼이 온다	배형준	"['송지효', ' 김재중', ' 오달수']"	6.31	4116	107
1781	작가 미상	플로리안 헨켈 폰 도너스마르크	"['세바스티안 코치', ' 톰 쉴링', ' 폴라 비어']"	9.15	172	189
1782	작은 아씨들	그레타 거윅	"['시얼샤 로넌', ' 엠마 왓슨', ' 플로렌스 퓨', ' 엘리자 스캔런', ' 티모시 샬라메']"	8.82	3837	135
1783	잔예 - 살아서는 안되는 방	나카무라 요시히로	"['다케우치 유코', ' 하시모토 아이']"	6.75	1510	100
1784	잔칫날	김록경	"['하준', ' 소주연']"	8.9	392	108
1785	잠깐만 회사 좀 관두고 올게	나루시마 이즈루	"['후쿠시 소우타', ' 쿠도 아스카']"	8.19	983	114
1786	잠베지아: 신비한 나무섬의 비밀	웨인 쏜리	"['사무엘 L. 잭슨', ' 아비게일 브레스린', ' 제프 골드브럼', ' 레너드 니모이', ' 제레미 슈어레즈']"	8.7	741	83
1787	잡스	조슈아 마이클 스턴	"['애쉬튼 커쳐', ' 조시 게드', ' 더모트 멀로니', ' 매튜 모딘']"	7.29	2350	127
1788	잡아야 산다	오인천	"['김승우', ' 김정태', ' 혁']"	4.02	1265	96
1789	장강7호 : 내친구 마법요정	원건도	"['주성치', ' 장우기']"	7.96	23	82
1790	장고:분노의 추적자	쿠엔틴 타란티노	"['제이미 폭스', ' 크리스토프 왈츠', ' 레오나르도 디카프리오', ' 케리 워싱턴', ' 사무엘 L. 잭슨']"	8.55	3206	165
1791	장난감이 살아있다	후안 호세 캄파넬라	"['니콜라스 홀트', ' 아리아나 그란데', ' 케이티 홈즈', ' 루퍼트 그린트', ' 남도형', ' 김채하', ' 김태균', ' 정찬우', ' 이현']"	7.5	386	91
1792	장난스런 키스	프랭키 첸	"['왕대륙', ' 임윤']"	8.14	3091	122
1793	장산범	허정	"['염정아', ' 박혁권']"	6.07	8137	100
1794	장수상회	강제규	"['박근형', ' 윤여정', ' 조진웅', ' 한지민']"	8.92	4029	112
1795	장화신은 고양이	크리스 밀러	"['안토니오 반데라스', ' 질 마리니', ' 샬롯 뉴하우스', ' 크리스 밀러', ' 월트 도른', ' 브렛 마넬', ' 마일즈 크리스토퍼 박시', ' 니나 조 박시', ' 기욤 아레토스']"	8.4	2062	13
1796	재심	김태윤	"['정우', ' 강하늘', ' 김해숙']"	8.51	8348	119
1797	재키	파블로 라라인	"['나탈리 포트만', ' 피터 사스가드', ' 그레타 거윅', ' 빌리 크루덥']"	7	253	100
1798	재키 앤 라이언	아미 카난 만	"['캐서린 헤이글', ' 벤 반스', ' 클리어 듀발']"	7.46	37	90
1799	잭 더 자이언트 킬러	브라이언 싱어	"['스탠리 투치', ' 이완 맥그리거', ' 빌 나이', ' 니콜라스 홀트', ' 엘리너 톰린슨', ' 이안 맥쉐인']"	7.71	2610	114
1800	잭 라이언 : 코드네임 쉐도우	케네스 브래너	"['크리스 파인', ' 키이라 나이틀리', ' 케빈 코스트너']"	7.4	1618	105
1801	잭 리처	크리스토퍼 맥쿼리	"['톰 크루즈', ' 코비 스멀더스']"	7.12	2239	118
1802	잭 리처: 네버 고 백	에드워드 즈윅	"['톰 크루즈', ' 코비 스멀더스']"	7.12	2239	118
1803	쟈니 잉글리쉬2 : 네버다이	올리버 파커	"['로완 앳킨슨', ' 질리언 앤더슨']"	7.49	288	101
1804	저 산 너머	최종태	"['이경훈', ' 이항나', ' 안내상', ' 강신일', ' 송창의', ' 이열음']"	8.22	333	112
1805	저니스 엔드	사울 딥	"['샘 클라플린', ' 에이사 버터필드', ' 폴 베타니']"	8.47	198	107
1806	저수지 게임	최진성	"['주진우', ' 조미래', ' 정재호', ' 홍익표', ' 이종걸', ' 정두언', ' 이요섭', ' 김우남', ' 이지형', ' 이명박', ' 김의성']"	9.12	2850	100
1807	저스티스	로저 도널드슨	"['스티븐 랭', ' 제이미 린 시글러', ' 잭슨 라스본', ' 나단 파슨스']"	7.07	416	91
1808	저스티스 리그	잭 스나이더	"['벤 애플렉', ' 헨리 카빌', ' 갤 가돗', ' 제이슨 모모아', ' 에즈라 밀러', ' 레이 피셔']"	0	0	242
1809	저스틴	마누엘 시실라	"['다비 스탠치필드', ' 글린 터먼']"	7.87	204	100
1810	적과의 동침	박건용	"['바트 존슨', ' 트래비스 클러프']"	7.33	18	94
1811	적인걸2 : 신도해왕의 비밀	서극	"['조우정', ' 안젤라베이비', ' 김범', ' 풍소봉', ' 임경신', ' 덩차오', ' 유가령']"	7.92	1054	128
1812	전국노래자랑	이종필	"['김인권', ' 류현경', ' 김수미', ' 오광록', ' 유연석', ' 이초희', ' 오현경', ' 김중기']"	8	4997	112
1813	전설의 주먹	강우석	"['황정민', ' 유준상', ' 이요원', ' 윤제문', ' 정웅인', ' 성지루']"	7.56	6324	153
1814	젊은이의 양지	신수원	"['김호정', ' 윤찬영', ' 정하담', ' 최준영']"	8.1	111	114
1815	점박이 한반도의 공룡2 : 새로운 낙원	한상호	"['박희순', ' 라미란', ' 김성균']"	9.11	1754	94
1816	점박이:한반도의 공룡3D	한상호	"['이형석', ' 신용우', ' 구자형']"	7.63	830	90
1817	점쟁이들	신정원	"['김수로', ' 강예원', ' 이제훈', ' 곽도원', ' 김윤혜', ' 양경모']"	5.83	4161	119
1818	정글번치: 너구리 해적단과 보물지도	에즈라 와이즈	['에즈라 와이즈']	7.17	94	20
1819	정글북	존 파브로	"['베네딕트 컴버배치', ' 크리스찬 베일', ' 케이트 블란쳇', ' 앤디 서키스', ' 나오미 해리스']"	7.46	101	20
1820	정글북	타파스 차크라바르티	"['베네딕트 컴버배치', ' 크리스찬 베일', ' 케이트 블란쳇', ' 앤디 서키스', ' 나오미 해리스']"	7.46	101	20
1821	정글북: 마법 원정대	막심 파디브	"['콘스탄틴 카벤스키', ' 아르멘 드지가르크하니안']"	7.06	68	80
1822	정무문 : 100대 1의 전설	유위강	"['견자단', ' 서기']"	7.33	822	103
1823	정직한 후보	장유정	"['라미란', ' 김무열', ' 나문희', ' 윤경호']"	7.72	6813	104
1824	제 5침공	J 블레이크슨	"['클로이 모레츠', ' 닉 로빈슨', ' 알렉스 로', ' 리브 슈라이버']"	5.51	2572	112
1825	제 7기사단	키리야 카즈아키	"['클라이브 오웬', ' 모건 프리먼', ' 엑셀 헨니']"	6.84	558	115
1826	제3의 사랑	이재한	"['송승헌', ' 유역비']"	7.32	242	113
1827	제로 다크 서티	캐서린 비글로우	"['조엘 에저튼', ' 크리스 프랫', ' 제시카 차스테인', ' 제이슨 클락']"	8.24	2029	157
1828	제미니 맨	이안	['윌 스미스']	6.59	1479	117
1829	제보자	임순례	"['박해일', ' 유연석', ' 이경영']"	8.33	5281	114
1830	제이슨 본	폴 그린그래스	"['알리시아 비칸데르', ' 맷 데이먼', ' 줄리아 스타일스', ' 토미 리 존스', ' 뱅상 카셀']"	8.4	14380	123
1831	제인 도	안드레 외브레달	"['에밀 허쉬', ' 브라이언 콕스', ' 올웬 캐서린 켈리']"	7.93	1231	86
1832	제인 에어	캐리 후쿠나가	"['미아 와시코브스카', ' 마이클 패스벤더', ' 제이미 벨', ' 주디 덴치']"	7.92	742	115
1833	"제자도 - 제자,옥한흠2"	김상철	"['권오중', ' 옥한흠', ' 김약연', ' 김용기', ' 필립 얀시', ' 나카무라 주니치']"	8.61	104	90
1834	젠틀맨	가이 리치	"['주지훈', ' 박성웅', ' 최성은']"	8.44	816	20
1835	조	드레이크 도리머스	['강민정']	8.48	234	7
1836	"조금씩, 천천히 안녕"	나카노 료타	"['아오이 유우', ' 다케우치 유코', ' 마츠바라 치에코', ' 야마자키 츠토무']"	8.65	80	127
1837	조선마술사	김대승	"['유승호', ' 고아라']"	6.59	4997	122
1838	조선명탐정 : 각시투구꽃의 비밀	김석윤	"['김명민', ' 오달수', ' 한지민']"	8.12	9690	115
1839	조선명탐정 : 사라진 놉의 딸	김석윤	"['김명민', ' 오달수', ' 이연희']"	7.68	8371	125
1840	조선명탐정: 흡혈괴마의 비밀	김석윤	"['김명민', ' 오달수', ' 김지원']"	6.64	8662	120
1841	조선미녀삼총사	박제현	"['하지원', ' 강예원', ' 가인', ' 고창석', ' 주상욱']"	4.03	4900	107
1842	조제	김종관	"['한지민', ' 남주혁']"	6.51	2399	117
1843	조조 래빗	타이카 와이티티	"['토마신 맥켄지', ' 타이카 와이티티', ' 스칼릿 조핸슨', ' 로만 그리핀 데이비스']"	9.15	1524	108
1844	조커	토드 필립스	['호아킨 피닉스']	8.66	30314	123
1845	족구왕	우문기	"['안재홍', ' 황승언', ' 정우식', ' 강봉성', ' 황미영']"	8.55	2611	104
1846	존 윅 - 리로드	채드 스타헬스키	['키아누 리브스']	8.05	2411	122
1847	존 윅 3: 파라벨룸	채드 스타헬스키	['키아누 리브스']	7.99	5985	131
1848	존 카터: 바숨 전쟁의 서막	앤드류 스탠튼	"['테일러 키취', ' 린 콜린스', ' 윌렘 대포', ' 사만다 모튼']"	7.58	3457	132
1849	좀비랜드: 더블 탭	루벤 플레셔	"['엠마 스톤', ' 우디 해럴슨', ' 제시 아이젠버그', ' 아비게일 브레스린']"	7.91	982	99
1850	좀비스쿨	김석정	"['백서빈', ' 하은설', ' 김승환', ' 김경룡']"	4.71	391	87
1851	종이꽃	고훈	"['안성기', ' 유진', ' 김혜성', ' 장재희']"	9.05	145	103
1852	좋아하게 되는 그 순간을 ~고백실행위원회~	야나기자와 테츠야	"['아사쿠라 모모', ' 하나에 나츠키', ' 요나가 츠바사']"	8.17	77	63
1853	"좋아해, 너를"	이마이즈미 리키야	"['렌', ' 아오야기 후미코']"	8.33	463	107
1854	좋아해줘	박현진	"['이미연', ' 최지우', ' 김주혁', ' 유아인', ' 강하늘', ' 이솜']"	8.29	3901	123
1855	좋은 친구들	이도윤	"['지성', ' 주지훈', ' 이광수']"	7.81	2479	114
1856	죄 많은 소녀	김의석	"['전여빈', ' 서영화', ' 고원희', ' 이태경', ' 이봄', ' 전소니']"	7.91	788	113
1857	주디	루퍼트 굴드	['르네 젤위거']	8.35	501	118
1858	주먹왕 랄프	리치 무어	"['존 C. 라일리', ' 사라 실버맨', ' 제인 린치', ' 잭 맥브레이어']"	8.62	4636	112
1859	주문은 토끼입니까?? ~디어 마이 시스터~	하시모토 히로유키	"['사쿠라 아야네', ' 미나세 이노리', ' 타네다 리사', ' 사토 사토미', ' 우치다 마아야']"	4.82	958	61
1860	주온 : 끝의 시작	오치아이 마사유키	"['사사키 노조미', ' 아오야기 쇼']"	6.33	2828	91
1861	주온: 더 파이널	오치아이 마사유키	"['타이라 아이리', ' 키리야마 렌']"	4.18	419	90
1862	주전장	미키 데자키	['미키 데자키']	9.47	1426	121
1863	주키퍼스 와이프	니키 카로	"['제시카 차스테인', ' 다니엘 브륄']"	8.4	187	126
1864	죽여주는 여자	이재용	"['윤여정', ' 전무송', ' 윤계상']"	8.81	1510	111
1865	죽지않는 인간들의 밤	신정원	"['이정현', ' 김성오', ' 서영희', ' 양동근', ' 이미도']"	6.46	2935	110
1866	줄리아의 눈	기옘 모랄레스	"['벨렌 루에다', ' 루이스 호마르', ' 파블로 데르키']"	7.91	1622	117
1867	중2병이라도 사랑이 하고 싶어! 테이크 온 미	이시하라 타츠야	"['후쿠야마 쥰', ' 우치다 마아야', ' 아카사키 치나츠', ' 아사쿠라 아즈미', ' 우에사카 스미레']"	6.88	602	99
1868	중독노래방	김상찬	"['이문식', ' 배소은', ' 김나미', ' 미스터팡']"	8.55	757	106
1869	쥬라기 월드	콜린 트레보로우	"['크리스 프랫', ' 브라이스 달라스 하워드']"	7.88	18037	20
1870	쥬라기 월드: 폴른 킹덤	후안 안토니오 바요나	"['크리스 프랫', ' 브라이스 달라스 하워드']"	8.01	16170	127
1871	쥬랜더 리턴즈	벤 스틸러	"['벤 스틸러', ' 오웬 윌슨', ' 윌 페렐', ' 페넬로페 크루즈', ' 크리스틴 위그', ' 올리비아 문']"	5.88	144	100
1872	쥬만지: 넥스트 레벨	제이크 캐스단	"['카렌 길런', ' 드웨인 존슨', ' 케빈 하트', ' 잭 블랙']"	6.12	1841	122
1873	쥬만지: 새로운 세계	제이크 캐스단	"['드웨인 존슨', ' 케빈 하트', ' 잭 블랙', ' 카렌 길런']"	7.89	5711	118
1874	증인	이한	"['정우성', ' 김향기']"	9.1	13017	129
1875	지.아이.조 2	존 추	"['채닝 테이텀', ' 이병헌', ' 브루스 윌리스', ' 드웨인 존슨', ' 아드리안 팔리키', ' 레이 스티븐슨', ' 레이 파크']"	7.08	5293	110
1876	지골로 인 뉴욕	존 터투로	"['우디 앨런', ' 소피아 베르가라', ' 리브 슈라이버', ' 샤론 스톤', ' 존 터투로', ' 바네사 파라디']"	7.63	192	90
1877	지구공룡대탐험	데이빗 크렌츠	"['김보나', ' 강은애']"	5.85	93	71
1878	지구대표 롤링스타즈	임상준	"['류덕환', ' 류승룡', ' 심은경', ' 이병준', ' 임호', ' 김희정', ' 최원영', ' 오연아', ' 안상태']"	6.45	91	83
1879	지금 만나러 갑니다	이장훈	"['소지섭', ' 손예진']"	8.75	13836	131
1880	지금은맞고그때는틀리다	홍상수	"['정재영', ' 김민희']"	6.44	2767	121
1881	지니어스 독	길 정거	"['메간 폭스', ' 조쉬 더하멜', ' 가브리엘 베이트먼']"	7.06	65	90
1882	지랄발광 17세	켈리 프레몬	['헤일리 스테인펠드']	7.87	810	102
1883	지슬 - 끝나지 않은 세월2	오멸	"['이경준', ' 홍상표', ' 문석범', ' 양정원', ' 박순동', ' 성민철']"	6.27	6319	108
1884	지옥의 묵시록 파이널 컷	프란시스 포드 코폴라	"['말론 브란도', ' 로버트 듀발', ' 마틴 쉰']"	8.41	620	182
1885	지저귀는 새는 날지 않는다	마키타 카오리	['마키타 카오리']	8	12	24
1886	지푸라기라도 잡고 싶은 짐승들	김용훈	"['전도연', ' 정우성', ' 배성우', ' 윤여정', ' 정만식', ' 진경', ' 신현빈', ' 정가람']"	6.62	5669	108
1887	진격의 거인: 홍련의 화살	아라키 테츠로	"['카지 유우키', ' 이시카와 유이', ' 이노우에 마리나', ' 카미야 히로시']"	7.33	310	119
1888	진범	고정욱	"['송새벽', ' 유선']"	6.32	1469	100
1889	질투의 역사	정인봉	"['남규리', ' 오지호', ' 장소연', ' 김승현']"	5.12	115	94
1890	집 이야기	박제범	"['이유영', ' 강신일']"	9.1	254	92
1891	집으로 가는 길	방은진	['하규빈']	8.82	5183	14
1892	짓	한종훈	"['서태화', ' 김희정', ' 서은아', ' 곽민호']"	5.28	547	107
1893	짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습	타카하시 와타루	"['야지마 아키코', ' 나라하시 미키', ' 후지와라 케이지']"	9.12	1206	97
1894	짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부	시기노 아키라	"['야지마 아키코', ' 나라하시 미키', ' 후지와라 케이지']"	8.84	1188	100
1895	짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격	하시모토 마사카즈	"['야지마 아키코', ' 후지와라 케이지', ' 나라하시 미키', ' 코오로기 사토미', ' 사카모토 마아야', ' 나미카와 다이스케']"	8.68	1052	104
1896	짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전	마스이 소이치	"['야지마 아키코', ' 나라하시 미키', ' 후지와라 케이지']"	8.16	564	107
1897	짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격	타카하시 와타루	"['야지마 아키코', ' 나라하시 미키', ' 후지와라 케이지']"	8.86	726	96
1898	짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!	하시모토 마사카즈	"['야지마 아키코', ' 후지와라 케이지', ' 나라하시 미키']"	8.52	552	95
1899	짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스	마스이 소이치	"['야지마 아키코', ' 나라하시 미키', ' 후지와라 케이지', ' 코오로기 사토미']"	8.21	510	111
1900	찌라시: 위험한 소문	김광식	"['김강우', ' 정진영', ' 고창석', ' 박성웅']"	7.52	3309	121
1901	차이나타운	한준희	"['오요한', ' 야니스 스탄코글루', ' 테미스 바자카']"	4.71	163	91
1902	차이니즈 조디악	성룡	"['성룡', ' 권상우']"	7.82	1564	128
1903	차일드 44	다니엘 에스피노사	"['톰 하디', ' 누미 라파스', ' 게리 올드만', ' 조엘 킨나만', ' 찰스 댄스', ' 뱅상 카셀']"	8.17	615	137
1904	차일드 인 타임	줄리언 파리노	"['베네딕트 컴버배치', ' 켈리 맥도날드']"	7.96	54	93
1905	차형사	신태라	"['강지환', ' 성유리', ' 이수혁', ' 김영광', ' 신민철']"	7.46	5206	110
1906	찬실이는 복도 많지	김초희	['강말금']	8.76	1061	96
1907	찰스 디킨스의 비밀 서재	바랫 낼러리	"['댄 스티븐스', ' 조나단 프라이스', ' 크리스토퍼 플러머']"	7.93	162	104
1908	창궐	김성훈	"['현빈', ' 장동건']"	5.06	10312	121
1909	창문 넘어 도망친 100세 노인	플렉스 할그렌	"['로버트 구스타프슨', ' 이와 위클란더']"	7.84	1832	114
1910	창수	이덕희	"['임창정', ' 안내상', ' 정성화', ' 손은서', ' 태성']"	7.13	3619	103
1911	채비	조영준	"['고두심', ' 김성균']"	8.73	1466	114
1912	채피	닐 블롬캠프	"['휴 잭맨', ' 샬토 코플리', ' 시고니 위버', ' 데브 파텔']"	7.78	4334	120
1913	챔프	이환경	['카산드라 오펜버그']	8.4	2079	16
1914	챔피언	김용완	['제이콥 오프테브로']	10	1	109
1915	천녀유혼	엽위신	"['이개형', ' 진성욱']"	6.3	23	96
1916	천로역정: 천국을 찾아서	로버트 페르난데스	"['존 라이스 데이비스', ' 벤 프라이스']"	8.84	1042	113
1917	천문: 하늘에 묻는다	허진호	"['최민식', ' 한석규']"	8.81	12571	20
1918	천재 강아지 미스터 피바디	롭 민코프	"['타이 버렐', ' 맥스 찰스', ' 아리엘 윈터', ' 레슬리 만', ' 스탠리 투치', ' 스티븐 토보로스키', ' 엘리 켐퍼']"	8.39	891	92
1919	천하무적 키코리키	데니스 체르노프	['최낙윤']	6.67	43	91
1920	철가방 우수氏	윤학렬	['최수종']	9.12	1204	100
1921	철벽선생	츠키카와 쇼	"['타케우치 료마', ' 하마베 미나미']"	7.75	340	104
1922	철의 심장을 가진 남자	세드릭 히메네즈	"['로자먼드 파이크', ' 제이슨 클락', ' 미아 와시코브스카', ' 잭 레이너', ' 잭 오코넬']"	7.52	88	123
1923	철의 여인	필리다 로이드	"['메릴 스트립', ' 짐 브로드벤트']"	7.94	640	105
1924	첫키스만 50번째	후쿠다 유이치	"['야마다 타카유키', ' 나가사와 마사미']"	6.78	32	114
1925	청년경찰	김주환	"['박서준', ' 강하늘']"	8.27	20059	109
1926	청춘의 증언	제임스 켄트	"['알리시아 비칸데르', ' 키트 해링턴', ' 태런 에저튼', ' 콜린 모건']"	8.62	202	129
1927	청춘학당 : 풍기문란 보쌈 야사	도창훈	"['이태리', ' 배슬기', ' 안용준', ' 백봉기']"	6.39	952	90
1928	체브라시카	나카무라 마코토	"['오오하시 노조미', ' 키타노 키이', ' 츠치다 히로시', ' 후지무라 슌지']"	7.62	29	78
1929	체실 비치에서	도미닉 쿡	"['시얼샤 로넌', ' 빌리 하울']"	7.85	348	110
1930	체인징사이드: 부부탐구생활	파스칼 포자두	"['소피 마르소', ' 대니 분', ' 앙트완 뒬레리', ' 롤랑 지로', ' 아니 뒤프레']"	7.13	69	93
1931	체포왕	임찬익	"['박중훈', ' 이선균']"	7.72	1803	117
1932	초미의 관심사	남연우	"['조민수', ' 치타']"	7.39	504	92
1933	초원의 왕 도제	코지마 마사유키	"['하마다 타츠오미', ' 카케이 토시오', ' 히라 미키지로']"	8.01	107	90
1934	초콜렛 도넛	트래비스 파인	"['알란 커밍', ' 가렛 딜라헌트', ' 아이작 레이바']"	9	477	98
1935	초한지 - 천하대전	이인항	"['여명', ' 유역비', ' 풍소봉', ' 장한위', ' 황추생', ' 진소춘', ' 안지걸']"	7.76	961	137
1936	최강전사 미니특공대 : 새로운 악당의 습격	이영준	"['엄상현', ' 전태열', ' 신용우', ' 이소영', ' 성완경', ' 양정화']"	7.55	784	60
1937	최강전사 미니특공대: 영웅의 탄생	이영준	['이영준']	8.4	542	68
1938	최악의 이웃과 사랑에 빠지는 방법	클로비스 코르니악	"['클로비스 코르니악', ' 멜라니 베니어', ' 릴루 포글리', ' 필립페 듀쿠에스네']"	8.15	155	91
1939	최악의 하루	김종관	"['한예리', ' 이와세 료', ' 권율']"	7.79	1324	93
1940	최종병기 활	김한민	"['박해일', ' 류승룡', ' 김무열', ' 문채원']"	7.86	14339	122
1941	최종병기 활 감독확장판	김한민	"['박해일', ' 류승룡', ' 김무열', ' 문채원']"	7.86	14339	122
1942	추억의 마니	요네바야시 히로마사	"['타카츠키 사라', ' 아리무라 카스미']"	8.94	1743	103
1943	춘몽	장률	"['한예리', ' 양익준', ' 박정범', ' 윤종빈']"	7.95	402	101
1944	춘희막이	박혁지	"['김춘희', ' 최막이']"	8.84	369	96
1945	출국	노규엽	['이범수']	8.78	3701	105
1946	출동! 도토리 구조대	로스 베노커	"['제이슨 존스', ' 윌 포트']"	4.6	30	82
1947	출동! 소방관 샘: 외계인 대소동	개리 앤드류스	"['데이비드 테넌트', ' 나이젤 휘트미', ' 조연우', ' 신정훈', ' 박상우', ' 방지원', ' 송영인', ' 오은수']"	8.03	30	63
1948	치어 댄스	카와이 하야토	"['히로세 스즈', ' 나카죠 아야미', ' 아마미 유키']"	8.13	158	121
1949	치즈인더트랩	김제영	"['박해진', ' 오연서', ' 박기웅', ' 유인영']"	5.08	2669	116
1950	친구 2	곽경택	"['유오성', ' 주진모', ' 김우빈']"	6.2	7582	124
1951	친구와 연인사이	이반 라이트만	"['나탈리 포트만', ' 애쉬튼 커쳐']"	7.43	754	110
1952	칠곡 가시나들	김재환	"['박금분', ' 곽두조', ' 강금연', ' 안윤선', ' 박월선', ' 김두선', ' 이원순', ' 박복형', ' 주석희']"	9.14	437	100
1953	칠드런 오브 맨	알폰소 쿠아론	"['클라이브 오웬', ' 줄리안 무어', ' 마이클 케인']"	8.26	768	109
1954	침묵	정지우	"['주딧 칼마르', ' 셀린 코스테 칼라일']"	7.89	5600	87
1955	침입자	손원평	"['프리다 핀토', ' 로건 마샬 그린', ' 로버트 존 버크', ' 사라 미니치']"	5.47	4105	20
1956	카3: 새로운 도전	브라이언 피	"['아미 해머', ' 오웬 윌슨', ' 크리스텔라 알론조']"	8.47	1460	109
1957	카메라를 멈추면 안 돼!	우에다 신이치로	"['하마츠 타카유키', ' 아키야마 유즈키', ' 나가야 카즈아키', ' 슈하마 하루미', ' 마오']"	6.23	22	57
1958	카센타	하윤재	"['박용우', ' 조은지']"	7.23	700	97
1959	카우보이 & 에이리언	존 파브로	"['다니엘 크레이그', ' 해리슨 포드', ' 올리비아 와일드', ' 샘 록웰']"	5.74	960	118
1960	카운슬러	리들리 스콧	"['마이클 패스벤더', ' 브래드 피트', ' 카메론 디아즈', ' 페넬로페 크루즈', ' 하비에르 바르뎀']"	7.18	2045	117
1961	카운터스	이일하	['이일하']	9.46	247	99
1962	카이: 거울 호수의 전설	이성강	"['김영은', ' 박고운', ' 강진아', ' 박주광', ' 김도영', ' 김연아']"	7.78	223	96
1963	카트	부지영	"['염정아', ' 문정희', ' 김영애', ' 김강우']"	8.63	5281	104
1964	카페 6	오자운	"['동자건', ' 안탁령', ' 임백굉', ' 오양니니']"	7.58	355	103
1965	카페 벨에포크	니콜라스 베도스	"['도리아 틸리에', ' 다니엘 오떼유', ' 화니 아르당', ' 기욤 까네']"	8.43	440	115
1966	카페 소사이어티	우디 앨런	"['블레이크 라이블리', ' 제시 아이젠버그', ' 크리스틴 스튜어트']"	7.69	1350	96
1967	"카페, 한 사람을 기다리다"	강금림	"['송운화', ' 브루스']"	7.65	207	119
1968	캐롤	토드 헤인즈	"['케이트 블란쳇', ' 루니 마라', ' 카일 챈들러']"	8.61	4048	118
1969	캐리비안의 해적: 낯선 조류	롭 마샬	"['조니 뎁', ' 제프리 러쉬', ' 페넬로페 크루즈']"	8.08	5433	137
1970	캐빈 인 더 우즈	드류 고다드	"['크리스 헴스워스', ' 크리스튼 코놀리', ' 안나 허치슨', ' 프란 크랜즈', ' 제시 윌리엄스', ' 리차드 젠킨스', ' 시고니 위버']"	7.02	3968	95
1971	캐치미	이현종	['이현우']	6.65	2126	12
1972	캡틴 샤키	허버트 베일란드	"['최정현', ' 김경희', ' 민아', ' 박상훈', ' 석승훈', ' 홍진욱']"	8.88	99	77
1973	캡틴 필립스	폴 그린그래스	"['톰 행크스', ' 캐서린 키너', ' 바크하드 압디', ' 바크하드 압디라만', ' 파이살 아메드', ' 마핫 M. 알리']"	9.05	2501	134
1974	캡틴 하록	아라마키 신지	"['오구리 슌', ' 미우라 하루마', ' 아오이 유우']"	7.54	710	115
1975	캣츠	톰 후퍼	"['제니퍼 허드슨', ' 테일러 스위프트', ' 이드리스 엘바', ' 주디 덴치', ' 이안 맥켈런', ' 제이슨 데룰로', ' 제임스 코든', ' 레이 윈스턴', ' 레벨 윌슨', ' 프란체스카 헤이워드']"	4.59	5537	109
1976	캣츠토피아	게리 왕	"['유민상', ' 오나미', ' 박지현']"	4.02	105	87
1977	커런트 워	알폰소 고메즈-레존	"['베네딕트 컴버배치', ' 마이클 섀넌', ' 니콜라스 홀트', ' 톰 홀랜드']"	7.81	882	108
1978	커뮤터	자움 콜렛 세라	"['리암 니슨', ' 베라 파미가']"	8.14	1767	104
1979	커터	정희성	"['최태준', ' 김시후', ' 문가영']"	5.78	360	103
1980	커튼콜	류훈	['채장훈']	5.23	257	20
1981	커플즈	정용기	"['김주혁', ' 이시영', ' 이윤지', ' 오정세', ' 공형진']"	7.95	1319	110
1982	커피 메이트	이현하	"['윤진서', ' 오지호', ' 김민서']"	7.77	227	111
1983	컨저링 2	제임스 완	"['베라 파미가', ' 패트릭 윌슨', ' 프란시스 오코너', ' 프란카 포텐테', ' 스털링 제린스', ' 매디슨 울프']"	8.24	8084	134
1984	컨택트	드니 빌뇌브	['레아 뱅첼린']	8.26	6872	6
1985	컨테이젼	스티븐 소더버그	"['사이먼 헤이콕', ' 루시 드라이브']"	5.27	22	96
1986	컨트롤러	조지 놀피	"['맷 데이먼', ' 에밀리 블런트']"	7.3	1672	105
